5729080,Grants Pass,Drizzle,2019-01-01 10:15:00
5729485,Gresham,Fog,2019-01-01 10:18:00
5730675,Hayesville,Fog,2019-01-01 10:16:00
5731070,Hermiston,Clouds,2019-01-01 10:35:00
5731371,Hillsboro,Fog,2019-01-01 10:21:00
5734711,Keizer,Fog,2019-01-01 10:16:00
5735724,Lake Oswego,Fog,2019-01-01 10:18:00
5736218,Lebanon,Fog,2019-01-01 10:16:00
5736378,Lents,Fog,2019-01-01 10:18:00
5740099,Medford,Mist,2019-01-01 10:15:00
5740900,Milwaukie,Fog,2019-01-01 10:18:00
5742726,Newberg,Fog,2019-01-01 10:18:00
5743731,Oak Grove,Fog,2019-01-01 10:18:00
5744253,Oregon City,Fog,2019-01-01 10:18:00
5745380,Pendleton,Clear,2019-01-01 09:56:00
5746545,Portland,Fog,2019-01-01 10:21:00
5750162,Salem,Fog,2019-01-01 10:16:00
5751632,Sherwood,Fog,2019-01-01 10:44:00
5756758,Tigard,Fog,2019-01-01 10:18:00
5757477,Troutdale,Fog,2019-01-01 10:18:00
5757506,Tualatin,Fog,2019-01-01 10:44:00
5760009,West Linn,Fog,2019-01-01 10:18:00
5761287,Wilsonville,Fog,2019-01-01 10:44:00
5761708,Woodburn,Clouds,2019-01-01 09:56:00
5771826,Bountiful,Clear,2019-01-01 10:35:00
5771960,Brigham City,Clear,2019-01-01 10:22:00
5772654,Centerville,Clear,2019-01-01 10:35:00
5772959,Clearfield,Clear,2019-01-01 10:35:00
5773001,Clinton,Clear,2019-01-01 10:35:00
5773304,Cottonwood Heights,Clear,2019-01-01 10:35:00
5774001,Draper,Clear,2019-01-01 10:35:00
5774215,Eagle Mountain,Clear,2019-01-01 10:35:00
5774301,East Millcreek,Clear,2019-01-01 10:35:00
5774662,Farmington,Clear,2019-01-01 10:35:00
5775782,Herriman,Clear,2019-01-01 10:35:00
5775863,Highland,Clear,2019-01-01 10:35:00
5776008,Holladay,Clear,2019-01-01 10:35:00
5776715,Kaysville,Clear,2019-01-01 10:35:00
5776727,Kearns,Clear,2019-01-01 10:35:00
5777107,Layton,Clear,2019-01-01 10:35:00
5777224,Lehi,Clear,2019-01-01 10:35:00
5777544,Logan,Clear,2019-01-01 10:22:00
5777793,Magna,Clear,2019-01-01 10:35:00
5778244,Midvale,Clear,2019-01-01 10:35:00
5778352,Millcreek,Clear,2019-01-01 10:35:00
5778755,Murray,Clear,2019-01-01 10:35:00
5779036,North Ogden,Clear,2019-01-01 10:22:00
5779068,North Salt Lake,Clear,2019-01-01 10:35:00
5779206,Ogden,Clear,2019-01-01 10:35:00
5779334,Orem,Clear,2019-01-01 10:35:00
5779816,Pleasant Grove,Clear,2019-01-01 10:35:00
5780026,Provo,Clear,2019-01-01 10:35:00
5780557,Riverton,Clear,2019-01-01 10:35:00
5780802,Roy,Clear,2019-01-01 10:35:00
5780993,Salt Lake City,Clear,2019-01-01 10:35:00
5781087,Saratoga Springs,Clear,2019-01-01 10:35:00
5781765,South Jordan Heights,Clear,2019-01-01 10:35:00
5781770,South Jordan,Clear,2019-01-01 10:35:00
5781783,South Ogden,Clear,2019-01-01 10:35:00
5781794,South Salt Lake,Clear,2019-01-01 10:35:00
5781860,Spanish Fork,Clear,2019-01-01 10:35:00
5781993,Springville,Clear,2019-01-01 10:35:00
5782391,Syracuse,Clear,2019-01-01 10:35:00
5782476,Taylorsville,Clear,2019-01-01 10:35:00
5783695,Tooele,Clear,2019-01-01 10:35:00
5784549,West Jordan,Clear,2019-01-01 10:35:00
5784607,West Valley City,Clear,2019-01-01 10:35:00
